O,D,O행정동명,D행정동명,naver_p,naver_c,time_pt,time_car
1138058000,1144070000,응암제1동,망원제2동,"https://map.naver.com/p/directions/14129628.866819108,4522677.347265146/14126505.152851857,4517328.769301461/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14129628.866819108,4522677.347265146/14126505.152851857,4517328.769301461/-/car?c=15.00,0,0,0,dh",51,23
1121576000,1126054000,중곡제3동,면목제4동,"https://map.naver.com/p/directions/14146635.724288952,4518510.397693721/14146380.780391134,4520531.6706918245/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14146635.724288952,4518510.397693721/14146380.780391134,4520531.6706918245/-/car?c=15.00,0,0,0,dh",17,11
1126054000,1121576000,면목제4동,중곡제3동,"https://map.naver.com/p/directions/14146380.780391134,4520531.6706918245/14146635.724288952,4518510.397693721/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14146380.780391134,4520531.6706918245/14146635.724288952,4518510.397693721/-/car?c=15.00,0,0,0,dh",19,12
1130560300,1150052000,번2동,등촌제1동,"https://map.naver.com/p/directions/14141485.906533668,4526953.865301566/14121819.971519198,4516895.610606377/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14141485.906533668,4526953.865301566/14121819.971519198,4516895.610606377/-/car?c=15.00,0,0,0,dh",92,49
1150052000,1130560300,등촌제1동,번2동,"https://map.naver.com/p/directions/14121819.971519198,4516895.610606377/14141485.906533668,4526953.865301566/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14121819.971519198,4516895.610606377/14141485.906533668,4526953.865301566/-/car?c=15.00,0,0,0,dh",88,53
1162072500,1162052500,조원동,보라매동,"https://map.naver.com/p/directions/14127328.805764236,4506668.297854223/14129979.667930447,4507716.604775835/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14127328.805764236,4506668.297854223/14129979.667930447,4507716.604775835/-/car?c=15.00,0,0,0,dh",19,13
1126058000,1168065500,상봉제1동,도곡1동,"https://map.naver.com/p/directions/14147657.425707398,4523376.730056564/14142088.75723606,4507528.11251425/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14147657.425707398,4523376.730056564/14142088.75723606,4507528.11251425/-/car?c=15.00,0,0,0,dh",55,53
1168065500,1126065500,도곡1동,망우본동,"https://map.naver.com/p/directions/14142088.75723606,4507528.11251425/14149022.224928422,4521885.790588294/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14142088.75723606,4507528.11251425/14149022.224928422,4521885.790588294/-/car?c=15.00,0,0,0,dh",65,54
1156072000,1114059000,대림제3동,광희동,"https://map.naver.com/p/directions/14126140.692839,4509113.619478775/14138366.222331982,4518236.495357306/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14126140.692839,4509113.619478775/14138366.222331982,4518236.495357306/-/car?c=15.00,0,0,0,dh",48,46
1114059000,1156072000,광희동,대림제3동,"https://map.naver.com/p/directions/14138366.222331982,4518236.495357306/14126140.692839,4509113.619478775/-/transit?c=15.00,0,0,0,dh","https://map.naver.com/p/directions/14138366.222331982,4518236.495357306/14126140.692839,4509113.619478775/-/car?c=15.00,0,0,0,dh",48,47
